和子女王	And son queen 
上海市戏曲学校	Shanghai Opera School 
中国中央电视台军事·农业频道	China Central Television Military and Agricultural Channel 
社会民众党	Social Popular Party 
宋高利	Song Gaoli 
英国伊拉克战争	British Iraq War 
凤凰卫视电影台	Phoenix TV Movie Channel 
安艺法眼	Anyi Fayan 
超级彩虹鱼	Super Rainbow Fish 
奥地利联邦军	Austrian Federal Army 
德川伊曾姬	Tokugawa Isohime 
谭君铁	Tan Juntie 
あぁ!	Ahh! 
索马利亚先令	Somali Shilling 
鹤保庸介	Tsuru Hosuke 
半条命	Half-life 
大连瑞恒	Dalian Ruiheng 
开普敦市政厅	Cape Town City Hall 
奥地利足球甲级联赛	Austrian Football League 
.bj	.bj 
岩佐美咲	Misaki Iwasa 
周贻能	Zhou Yineng 
gamecube手柄	gamecube handle 
石嘉琪	Shi Jiaqi 
十三殖民地	Thirteen colonies 
杜高智	Du Gaozhi 
达喀尔战役	Battle of Dakar 
沃尔瑟姆_(马萨诸塞州)	Waltham (Massachusetts) 
路易斯王子	Prince Louis 
法国十七岁以下代表队	French Under-17 National Team 
宇都宫孝明	Utsunomiya Takaaki 
沈阳维士地产足球俱乐部	Shenyang Weishi Real Estate Football Club 
méxico_d.f.	méxico_d.f. 
李添胜	Li Tiansheng 
丹属爱沙尼亚	Danish Estonia 
正苓里	Zhenglingli 
欧盟专员	European Commissioner 
内田智也	Tomoya Uchida 
百变小樱	Variety Sakura 
安闲天皇	Emperor Ankan 
圣基茨和尼维斯君主	Monarch of Saint Kitts and Nevis 
成丰慧	Cheng Fenghui 
府内城	Funai Castle 
下畠翔吾	Shogo Shimohata 
安远炮台	Anyuan Fort 
塞纳河畔讷伊	Neuilly-sur-Seine 
王志华_(助理编导)	Wang Zhihua_(Assistant Choreographer) 
粤语字	Cantonese characters 
王贵国	Wang Guiguo 
大森贵弘	Takahiro Omori 
神话剧	Mythology 
让·平	Jean Ping 
拉普拉塔联合省	Union Province of La Plata 
奥斯卡王子_(斯科讷公爵)	Prince Oscar_ (Duke of Skane) 
池田茂政	Shigeru Ikeda 
罗兰·麦克尼尔，第一代卡申登男爵	Roland McNeill, the first Baron of Casshendon 
印度尼西亚独立革命	Indonesian Revolution 
西屋电气公司授权公司	Westinghouse Electric Company Authorized Company 
马其顿共和国国旗	Flag of the Republic of Macedonia 
谢韶光	Xie Shaoguang 
湖州话	Huzhou dialect 
俄罗斯民主选择	Russian democratic choice 
法国政府	French government 
郑渝客运专线	Zhengyu Passenger Dedicated Line 
印度摇滚	Indian rock 
太平天国	Taiping Heavenly Kingdom 
达尔文奖章	Darwin Medal 
拿祖保积域	Nazubao domain 
美国海外航空	American Overseas Airlines 
利埃战争	Liège War 
英属西太平洋地区	British West Pacific 
法国内政部长	French Minister of the Interior 
老挝人民民主共和国主席	Chairman of the Lao People's Democratic Republic 
阮文禄_(西山朝)	Nguyen Van Luk (West Mountain Dynasty) 
北约秘书长	NATO Secretary General 
荷兰社会事务及就业部	Ministry of Social Affairs and Employment 
区域性中心城市	Regional center city 
普拉滕斯竞技俱乐部	Plattens Athletic Club 
新民主精神	New democratic spirit 
桤木属	Alnus 
古亭里	Gutingli 
jp:藤原尊子_(藤原道长女)	jp: Fujiwara Takako_ (Fujiwara Road eldest daughter) 
奈比多	Naypyitaw 
哥斯大黎加国家体育场_(2011)	Costa Rica National Stadium_ (2011) 
哈孟库布沃诺九世	Hamon Kubuwono IX 
加那利天体物理研究所	Canary Institute of Astrophysics 
北加里曼丹省	North Kalimantan 
上海浦	Shanghai Pu 
突厥汗国	Turkic Khanate 
.mu	.wood 
木剑剑法	Wooden sword swordsmanship 
全国人民代表大会常务委员会办公厅	General Office of the Standing Committee of the National People's Congress 
哈菲兹墓	Tomb of Hafez 
岛田满	Shimada 
后伏见天皇	Emperor Fushimi 
福克兰群岛镑	Falkland Islands Pound 
特克公爵弗朗西斯	Francis, Duke of Turk 
海野よしみ	Yoshimi Umino 
天堂执法者_(第一季)	Heaven Enforcer_ (Season One) 
何伯励	He Boli 
中山博贵	Zhongshan Bogui 
软件更新	Software update 
奔腾4	Pentium 4 
堀米悠斗	Yuto Horigome 
阿拉斯加时区	Alaska time zone 
中和机厂	Zhonghe Machinery Factory 
吕西尼昂的居伊	Guy of Lusignan 
西大井站	West Oi Station 
苏我远智娘	Su Wo Yuan Zhi Niang 
珍阿都拉	Jan Abdullah 
沙特足球甲级联赛	Saudi Football League 
三角洲蓝调	Delta Blues 
鱼洞长江大桥	Yudong Yangtze River Bridge 
郭舒贤	Guo Shuxian 
达拉斯县_(爱阿华州)	Dallas County_ (Iowa) 
中国共产党第十一次全国代表大会	The 11th National Congress of the Communist Party of China 
挪威萨米议会	Sami Parliament of Norway 
.ky	.This 
wf邮区	wf postal area 
中田亮太	Ryota Nakata 
波多马克军团	Potomac Army 
中华人民共和国历史	History of the People's Republic of China 
金容建	Jin Rongjian 
赵聿修纪念中学	Zhao Yuxiu Memorial High School 
放克金属	Funk Metal 
有线娱乐台	Cable Entertainment Station 
戈拉姆-侯赛因·伊勒姆	Golam-Hussein Yilem 
朱利安·拜恩，第一代维米的拜恩子爵	Julian Byrne, Viscount Byrne of the first Vimy 
今夜感觉我的爱	Feel my love tonight 
洪天祥	Hong Tianxiang 
澳大利亚20岁以下国家足球队	Australia Under-20 National Football Team 
法国国家二十一岁以下足球队	French National Under-21 Football Team 
运输大臣	Minister of Transport 
理查德·凯西_(凯西男爵)	Richard Casey_ (Baron Casey) 
郑道儒	Zheng Daoru 
武烈王	King Wulie 
上帝保佑斐济	God bless Fiji 
松井优征	Matsui Yusei 
时尚大玩咖	Fashion big 
满地宝	Mo Di Bao 
寿贵人	Longevity 
台儿庄战役	Battle of Taierzhuang 
阿拉斯加州行政区划	Administrative divisions of Alaska 
环境食物及农村事务大臣	Minister of Environment, Food and Rural Affairs 
菅原一秀	Isshu Sugawara 
冰岛总统列表	List of Presidents of Iceland 
中野嘉大	Yoshihiro Nakano 
法务大臣	Minister of Justice 
阿纳失失里	Ana loses 
fooladshahr	fooladshahr 
猪口邦子	Kuniko Inoguchi 
安国军政府	Anguo Military Government 
汉孟牌风琴	Hanmeng Organ 
泰国国民党	Thai National Party 
鸟取县民歌	Tottori Folk Songs 
东南俄克拉荷马州立大学	Southeastern Oklahoma State University 
彼德·罗宾逊_(政治人物)	Peter Robinson_ (political figure) 
妇女研究	Women's Studies 
那不勒斯大学	University of Naples 
.ke	.can 
客家地区	Hakka area 
坎波福尔米奥条约	Campo Formio Treaty 
姜依兰	Jiang Yilan 
韩小莹	Han Xiaoying 
韩鸿翼	Han Hongyi 
泰德通宝	Ted Tomb 
法国国防部长列表	List of French Defense Ministers 
北京市第十三届人民代表大会	The 13th People's Congress of Beijing 
木下弥右卫门	Kinoshita Yaemon 
巴耶尔萨联足球俱乐部	Bayelsa United Football Club 
中根幸	Nakane Sachi 
bmo哈里斯布拉德利中心	bmo Harris Bradley Center 
国际米兰俱乐部	Inter Milan Club 
李伊	Li Yi 
刘峻纬	Liu Junwei 
大政翼赞会	Great political wing 
敬畏上帝，荣耀女王	Fear God, Glory Queen 
古典时期	Classical period 
店镇里	In the town 
羁绊_(橘子新乐园单曲)	Bonds_ (Orange New Paradise Single) 
义大利21岁以下足球代表队	Italy Under-21 Football Team 
伊里奥特弗七世	Iliott VII 
山本大贵	Daisuke Yamamoto 
冈萨洛_(阿基坦公爵)	Gonzalo_ (Duke of Aquitaine) 
苹果公共源代码许可证	Apple Public Source Code License 
三岔河口	Sancha Hekou 
布匿战争	Punic War 
静茹＆情歌-别再为他流泪	Jing Ru & Love Songs-Stop crying for him 
排球少年！！	Volleyball boy! ! 
柳州普通话	Liuzhou Mandarin 
马来亚独立日	Malayan Independence Day 
华斯尔足球俱乐部	Wasser Football Club 
竹千代	Chiyo Take 
维和里	Peacekeeping 
瑞士基督教民主人民党	Swiss Christian Democratic People's Party 
吉田真弓	Mayumi Yoshida 
软件许可证列表	Software license list 
国家副主席	Vice President 
丸谷拓也	Takuya Marutani 
波兰经济部	Polish Ministry of Economy 
岩浪美和	Yoshikazu Iwanami 
成珈莹	Cheng Jiaying 
爵士蓝调	Jazz blues 
朝鲜人民军战略火箭军	Korean People's Army Strategic Rocket Force 
法国民主联盟	French Democratic League 
瓦伦西亚语言学院	Valencia Language Institute 
朱利安·莱昂·卢瓦齐永	Julian Leon Loizillon 
山东女子足球俱乐部	Shandong Women's Football Club 
樊亦敏	Fan Yimin 
水野贤一	Koichi Mizuno 
霜月绢鲨	Kinusa Shimotsuki 
道君伊罗都卖	Taoist Irodu sells 
尾久车站	Oku Station 
谢素艳	Xie Suyan 
匈牙利国会大厦	Hungarian Parliament Building 
埃尔温·琼斯，埃尔温-琼斯男爵	Elwyn Jones, Baron Elwyn Jones 
天主教仰光总教区	Catholic Archdiocese of Yangon 
2012–13年香港初级组银牌	2012-13 Hong Kong Junior Group Silver Medal 
阪本一仁	Kazuto Sakamoto 
.gi	.give 
佤德昂语支	Wa Deang Language Branch 
格伦瓦德之战	Battle of Grunwald 
足球位置	Football position 
瑞典学院	Swedish Academy 
嫩哲格格	Nenzhegge 
cdma2000	cdma2000 
美国国家航空暨太空总署杰出公共服务奖章	National Aeronautics and Space Administration Distinguished Public Service Medal 
比尔·寇司比	Bill Cosby 
泡泡糖流行	Bubble gum pop 
德国自由民主党	Liberal Democratic Party of Germany 
陆镇东	Lu Zhendong 
朝鲜足球联赛	Korean Football League 
桥本一	Hashimoto One 
铁路机车	Railway locomotive 
西班牙王国	Kingdom of Spain 
qwertz键盘	qwertz keyboard 
横滨市交通局	Yokohama City Transportation Bureau 
mystic娱乐	mystic entertainment 
保加利亚亲王	Prince of Bulgaria 
幸福最晴天	Happiness 
公共卫生	Public health 
中央军事委员会机关事务管理总局	Central Military Commission Agency Affairs Administration 
凯德隆区_(昆士兰州)	Cadron District_(Queensland) 
黎光道	Li Guangdao 
图瓦卢为了上帝	Tuvalu for God 
唱片收藏_(唱片公司)	Record Collection_ (Record Company) 
乡村陪审员	Country juror 
那不勒斯王宫	Royal Palace of Naples 
乔治·霍华德_(英国军人)	George Howard_ (British soldier) 
腓特烈二世	Frederick II 
詹姆斯镇_(弗吉尼亚州)	Jamestown_(Virginia) 
s:内政部组织法	s: Organic Law of the Ministry of the Interior 
布里斯班_前锋s	Brisbane_forwards 
livescript	livescript 
abkco唱片公司	abkco record company 
佩差拉亲王	Prince Pechara 
桑坦德竞技足球俱乐部	Racing Santander Football Club 
阿通纳选区	Atona constituency 
王飞_(女子足球运动员)	Wang Fei_ (female football player) 
gw-basic	I'm basic 
中央军事委员会联合参谋部	Central Military Commission Joint Staff 
漫威电影宇宙电视剧	Marvel Cinematic Universe TV Series 
我们这一家	Our family 
westerlo	westerlo 
潘玉瑶	Pan Yuyao 
石村舞波	Ishimura Maiba 
和平号太空站对接舱	Mir space station docking module 
青藏高原	Qinghai-Tibet Plateau 
印尼国家语文中心	Indonesian National Language Center 
纽约自由党	New York Liberal Party 
图皮-瓜拉尼语族	Tupi-Guarani 
与论语	The Analects 
伊朗海军	Iranian Navy 
杰克逊_(加利福尼亚州)	Jackson_(California) 
郑梦奎	Zheng Mengkui 
逊清皇室小朝廷	The Little Court of the Xunqing Royal Family 
喜马偕尔邦高等法院	Himachal Pradesh High Court 
艾尔菲物理技术学院	Alphi Institute of Physics and Technology 
刘俊兰	Liu Junlan 
波兰共和国副总理	Deputy Prime Minister of the Republic of Poland 
波鸿体育俱乐部	Bochum Sports Club 
くらの方	Kura no kata 
部件工具箱	Parts Toolbox 
吴淞中国公学	Wusong Chinese Public School 
东宫御所	Togiya Palace 
第二兵团_(南北战争)	Second Corps_ (Civil War) 
陈兆恺	Chen Zhaokai 
西绪甘碧丝	Sisugambis 
加尔各答体育会	Kolkata Sports Association 
镇江体育会展中心	Zhenjiang Sports Exhibition Center 
澳门足球总会	Macau Football Association 
米勒-尤里实验	Miller-Yuri Experiment 
谢和平	Xie Heping 
弗拉基米尔·奥尔洛夫_(政治人物)	Vladimir Orlov_ (political figure) 
列车自动控制系统	Automatic train control system 
比耶列甸洛夫	Bieredenlov 
牛津大学校监列表	List of Supervisors of Oxford University 
后莱茵河	Rear rhine 
江户东京博物馆	Edo-Tokyo Museum 
北桥健治	Kitahashi Kenji 
董一元	Dong Yiyuan 
南高地省	Southern Highlands 
牧野美千子	Michiko Makino 
首席诸侯	Chief prince 
饭馆村	Restaurant village 
巴塞隆纳足球会b队	FC Barcelona B team 
阳光流行	Sun pops 
田所谅	Tian Suoliang 
庞元燊	Pang Yuanshen 
昭和时代	Showa era 
1972年欧洲足球锦标赛	1972 European Football Championship 
新正统神学	Neo-Orthodox Theology 
新阿斯特拉斯特里波利斯球场	New Astrastripolis Stadium 
群创光电	Innolux 
孙震_(台湾学政界人物)	Sun Zhen_ (a figure in Taiwanese academic and political circles) 
中台湾	Central Taiwan 
沼泽异形	Swamp Alien 
阿塔佛涅斯_(阿塔佛涅斯之子)	Atafonius_ (son of Atafonius) 
古希腊哲学	Ancient Greek philosophy 
近藤芳正	Yoshimasa Kondo 
douglão	douglan 
幸运杜塞道夫	Lucky Dusseldorf 
凡勃伦	Veblen 
pa-risc_cpu家族	pa-risc_cpu family 
端敬王后	Queen Duan Jing 
非洲足球联合会杯	African Football Confederations Cup 
田中诚太	Tanaka Seita 
rockwilder	rockwilder 
南千住站	Minami Senju Station 
开曼群岛元	Cayman Islands Dollar 
北与野站	Kita Yono Station 
闪电小子	Lightning Kid 
松平忠辉	Matsudaira Tadateru 
双带乌尾鮗	Double-straped blacktail fish 
敦达克足球俱乐部	Dundak Football Club 
50欧元纸币	50 euro banknotes 
须藤晃	Sudo Akira 
亨利·佩蒂-菲茨莫里斯，第五代兰斯敦侯爵	Henry Petty-Fitzmorris, the fifth Marquis of Lanstown 
银河骑士传	Galaxy knight 
澳大利亚国会大厦	Australian Parliament Building 
卜答失里	Bu Da Zhili 
格林尼治时间	Greenwich Mean Time 
九龙东选区	Kowloon East Constituency 
利兹市中心	Leeds City Center 
安哥拉宗教分布	Religious distribution in Angola 
新御茶之水站	Shin Ochanomizu Station 
不莱梅左派	Bremen Left 
泰柬边境争端	Thailand-Cambodia border dispute 
孟高棉语族	Mon Khmer 
昆山南站	Kunshan South Railway Station 
中国共产党第十六届中央委员会第一次全体会议	The First Plenary Session of the 16th Central Committee of the Communist Party of China 
sint-kruis-winkel	St. Cross Shop 
山崎亮平	Yamazaki Ryohei 
外蒙古独立	Independence of Outer Mongolia 
德川和子	Tokugawa Kazuko 
金子顺一	Junichi Kaneko 
我是歌手_(第四季)	I am a singer_ (fourth season) 
市委副书记	Deputy Secretary of the Municipal Party Committee 
巴西工党	Brazilian Labor Party 
j._(jan)_franssen	j ._ (jan) _french 
月刊comic电击大王!	Monthly Comic Dengeki! 
李玖	Li Jiu 
电影理论	Film theory 
美国中央学院	American Central College 
叙利亚的斯特拉托妮可	Stratonico of Syria 
阿伦_(巴登-符腾堡州)	Allen_ (Baden-Wurttemberg) 
梅利桑德_(耶路撒冷女王)	Melisand_ (Queen of Jerusalem) 
南布格河	South Bug River 
伯格理苗文	Bergley Miaowen 
意大利本土	Italian mainland 
女人最痛	Women hurt the most 
absolutepunk	absolutepunk 
diesel引擎	diesel engine 
流星花园_(日本电视剧)	Meteor Garden_ (Japanese TV Drama) 
黔西南布依族苗族自治州	Buyi and Miao Autonomous Prefecture in Southwest Guizhou 
菲律宾自治市	Philippine Municipality 
达灵顿_(英国国会选区)	Darlington_(British Parliamentary District) 
香岛中学	Xiangdao Middle School 
香港艺术学院	Hong Kong Academy of Arts 
毛贻昌	Mao Yichang 
美洲西班牙语	American Spanish 
耶路撒冷围城战_(1187年)	Siege of Jerusalem_ (1187) 
黒河贵矢	Takaya Kurokawa 
董翔龙	Dong Xianglong 
香港崇正总会	Hong Kong Chongzheng Association 
哈立德·本·阿卜杜勒-阿齐兹·阿勒沙特	Khalid Bin Abdul-Aziz Al Shat 
卡美哈梅哈四世	Kamehameha IV 
萨法维耶教团	Safavie Order 
瑞士城市列表	List of cities in Switzerland 
艾利湾海鹰	Avery Bay Seahawks 
李·美臣	Lee Mayson 
蒙达语族	Munda 
nannies_(how_i_met_your_mother)	nannies_(how_i_met_your_mother) 
卡累利阿共和国国歌	National Anthem of the Republic of Karelia 
肯塔基州各郡列表	List of counties in Kentucky 
abubacer	abubacer 
崇光天皇	Emperor Sogo 
李文龙_(助理编导)	Li Wenlong_(Assistant Choreographer) 
中国人民解放军西部战区	Western Theater of the Chinese People's Liberation Army 
维吉尼亚联邦大学	Virginia Commonwealth University 
还珠格格	Huan Zhu Ge Ge 
恋爱星求人	Love star ask for help 
大卫韦拿	David Wayner 
雅-miyavi-	Ya -miyavi- 
魏姓	Wei Surname 
诺曼底公爵夫人列表	List of Duchess of Normandy 
电气电子工程师学会	Institute of Electrical and Electronics Engineers 
竹围里	Zhuweili 
自由球场	Free court 
体育的风采:体荟中华	Sports demeanor: Chinese sports 
佩奇足球俱乐部	Page Football Club 
世界的中心是大阪_～难波自治区～	The center of the world is Osaka_～Namba Autonomous Region～ 
