节奏蓝调	Rhythm and blues 
玛格丽塔公主_(罗马尼亚)	Princess Margarita_(Romania) 
金融管理专员	Financial Controller 
阿方索_(两西西里)	Alfonso_ (Two Sicily) 
西北格拉斯哥_(英国国会选区)	Northwest Glasgow_(British Parliamentary District) 
东北英格兰_(欧洲议会选区)	Northeast England_(European Parliament constituency) 
惠建林	Hui Jianlin 
主滨了	Main beach 
蒙大拿州单一国会选区	Single congressional district of Montana 
开封话	Kaifeng 
数字生活网络联盟	Digital Life Network Alliance 
后清闲寺陵	Mausoleum of Hou Qingxian Temple 
巴林根	Balingen 
名单比例代表制	List proportional representation 
意大利银行行长	President of the Bank of Italy 
寿庄固伦公主	Princess Gulun 
黑糖玛奇朵	Brown Sugar Macchiato 
咎狗之血	Blame the dog's blood 
日升动画	Sunrise Animation 
赵昺	Zhao Bing 
中国共产党北京市第十一届委员会	The 11th Beijing Municipal Committee of the Communist Party of China 
光速蒙面侠21	Lightspeed Masked Man 21 
中央情报局	CIA 
宁河话	Ninghe dialect 
北京舞蹈学院	Beijing Dance Academy 
标准普尔500指数	Standard & Poor's 500 Index 
正义的上帝	Righteous god 
比安弗尼·马坦	Bienvenue Matan 
云雀iii型直升机	Skylark III helicopter 
白石藏王车站	Shiraishi Zao Station 
欧洲保守派和改革主义者联盟	European Union of Conservatives and Reformists 
核心马来-玻里尼西亚语	Core Malay-Polynesian 
马来西亚土著	Malaysian indigenous 
赵佑辰	Zhao Youchen 
百事中心	Pepsi Center 
岗嘎本孙峰	Gangga Bensun Peak 
法律博士	Doctor of Law 
菲律宾城市	Philippines cities 
marumo的规定	marumo rules 
达根奴	Dagenu 
比利时基督教社会党	Belgian Christian Socialist Party 
请问您今天要来点兔子吗？	Would you like some rabbits today? 
埃德蒙·沃克·赫德爵士，第八代从男爵	Sir Edmund Walker Hurd, 8th Generation from Baron 
letzigrund	last reason 
这里发现爱	Find love here 
鸟取县旗	Flag of Tottori Prefecture 
德国青年国家足球队	German Youth National Football Team 
深水里	Deep water 
公共管理	Public management 
双城记	Tale of Two Cities 
刘妃_(明思宗)	Concubine Liu_ (Ming Sizong) 
舰政本部	Ship administration headquarters 
越南20岁以下国家足球队	Vietnam Under-20 National Football Team 
东员町	Toincho 
河北华夏幸福	Hebei China Fortune 
尚比亚银行	Bank of Zambia 
自由妇女军	Free Women's Army 
乌尔比诺公国	Principality of Urbino 
木村贵宏	Kimura Takahiro 
墨西哥国家行动党	Mexican National Action Party 
亚美尼亚总理	Prime Minister of Armenia 
卡塔尔足球乙级联赛	Qatar Football League Two 
徐明朝	Xu Mingchao 
纳尔逊_(新西兰选区)	Nelson_(New Zealand Constituency) 
朝鲜劳动党中央委员会总书记	General Secretary of the Central Committee of the Workers' Party of Korea 
圣罗莎_(南里奥格兰德州)	Santa Rosa (Rio Grande do Sul) 
海军及陆战队勋章	Navy and Marine Corps Medal 
昂比伊	Ambiy 
海派甜心	Shanghai sweetheart 
木村光佑	Kimura Kosuke 
圣安德鲁斯大学体育联盟	University of St Andrews Sports League 
梅田绘理香	Umeda Erika 
就业大臣	Minister of Employment 
上村岬	Misaki Uemura 
明正天皇	Empress Meisho 
改进型韦格纳分布	Modified Wegener distribution 
阿富汗战争	War in Afghanistan 
英国广播公司商业分支	BBC Commercial Branch 
彼得森空军基地	Peterson Air Force Base 
额日西莫足球俱乐部	Erissimo Football Club 
台湾移动制作股份有限公司	Taiwan Mobile Production Co., Ltd. 
德意志联邦共和国基本法	Basic Law of the Federal Republic of Germany 
开普殖民地总督	Governor of Cape Colony 
美国第六集团军	US Sixth Army 
物理化学	Physical Chemistry 
意属东非	Italian East Africa 
中华民国空军	Republic of China Air Force 
刘吴惠兰	Liu Wuhuilan 
安萨里	Ansari 
芬兰-拉普语支	Finnish-Lappish branch 
巴西奥林匹克足球队	Brazil Olympic Football Team 
有机化学	Organic chemistry 
郑袭_(明郑)	Zheng Xi_(Ming Zheng) 
张皇后_(萧岿)	Queen Zhang_ (Xiao Kui) 
真岛浩	Hiro Mashima 
中国共产党纪律检查机关	Chinese Communist Party Disciplinary Inspection Agency 
zwijnaarde	swine earth 
森麻实·劳里-科里，第四代贝尔莫尔伯爵	Samashi Laurie-Curry, the 4th Earl of Belmore 
京沪高速动车组列车	Beijing-Shanghai high-speed EMU train 
法国甲组女子足球联赛	French Women's Football League 
萨拉科格鲁球场	Sarakoglu Stadium 
人权律师	Human rights lawyer 
第二次瓦格纳战役	Second Battle of Wagner 
稻田朋美	Tomomi Inada 
台湾省政府功能业务与组织调整	Functional Business and Organizational Adjustment of Taiwan Provincial Government 
历史小说	Historical novel 
外交及联邦事务大臣	Minister of foreign and federal affairs 
特别急行列车	Special express train 
阿尔巴尼亚王国_(1943年－1944年)	Kingdom of Albania_ (1943-1944) 
我们发财了	We got rich 
湖南师范大学附属中学	The High School Affiliated to Hunan Normal University 
大湖海军基地	Great Lakes Naval Base 
小笠原猛	Takeshi Ogasawara 
拿骚统治者列表	List of Nassau rulers 
德意志民主共和国部长会议	Council of Ministers of the German Democratic Republic 
厢型车	Van 
兹沃勒足球俱乐部	Zwolle Football Club 
乾隆帝皇十子	Ten sons of Emperor Qianlong 
织田秀子	Hideko Oda 
古拿奴	Gunano 
欧盟议会	European Parliament 
钓大鱼	Big fish 
安嫔李氏	Amy Lee 
寺田周平	Shuhei Terada 
甲骨文体育馆	Oracle Arena 
越南共产党中央政治局	Political Bureau of the Communist Party of Vietnam 
芝加哥齿轮	Chicago Gear 
社南里	Shenanli 
入境事务处	immigration Department 
康斯坦丁二世_(格鲁吉亚)	Constantine II_ (Georgia) 
山楂球场	Hawthorn Stadium 
南澳大利亚体育学院	South Australian Institute of Sport 
白俄罗斯苏维埃社会主义共和国	Belarusian Soviet Socialist Republic 
波琴ii	Bochen ii 
吕贝克足球俱乐部	Lubeck Football Club 
阮青贤	Ruan Qingxian 
金子一义	Gold is righteous 
神秘小说	Mystery novel 
岛屿地区	Island area 
斯泰普尔顿国际机场	Stapleton International Airport 
成海璃子	Riko Narumi 
太布尚弘	Naohiro Taifu 
梵蒂冈博物馆	Vatican Museums 
设乐町	Shirakucho 
山阳地方	Sanyang place 
国家铁路局	National Railway Administration 
吸血鬼猎人巴菲集数列表	Buffy the Vampire Slayer Episode List 
塞尔维亚正教	Serbian Orthodox 
汉平南越之战	Battle of Han Ping and South Vietnam 
核心密克罗尼西亚语	Core Micronesian 
钱达尔勒家族	Chandalli family 
朝鲜人民军总参谋部	General Staff of the Korean People's Army 
方孔钱	Square hole money 
湖南湘涛	Hunan Xiangtao 
美国州际公路辅助线列表	List of U.S. Interstate Routes 
魏玛的古典主义	Weimar Classicism 
天主教那空沙旺教区	Catholic Diocese of Nakhon Sawan 
索尼影业	Sony Pictures 
立陶宛摇滚	Lithuanian Rock 
反抗军同盟	Resistance League 
河合常则	Hehe Changzhi 
英国本土四角锦标赛	British Four Corners Championship 
欧洲马鹿	European red deer 
亚美尼亚高原	Armenian Plateau 
avx指令集	avx instruction set 
欧陆舞曲	Europa 
特斯拉定理	Tesla theorem 
美国内阁	U.S. Cabinet 
新干线e3系电力动车组	Shinkansen e3 series electric EMU 
丹尼森大学	Denison University 
西属几内亚	Spanish Guinea 
肖特基效应	Schottky effect 
松平松千代	Matsudaira 
.mm	.mm 
阿卡围城战	Siege of Acre 
利文斯顿足球俱乐部	Livingston Football Club 
nhk大河剧	nhk big river drama 
安道尔公国	Principality of Andorra 
外山和彦	Kazuhiko Toyama 
忠孝复兴站	Zhongxiao Fuxing Station 
莫斯科鱼雷足球俱乐部	Moscow Torpedo Football Club 
叙利亚反对派-伊拉克和黎凡特伊斯兰国冲突	Syrian opposition-Islamic State conflict in Iraq and the Levant 
长荣海运	Evergreen Shipping 
马利汉体育会	Malihan Sports Club 
福斯星空工作室	Fox Star Studio 
徐州站	Xuzhou Railway Station 
梅超风	Mei Chaofeng 
松鼠一型直升机	Squirrel helicopter 
泽列兹尼察足球俱乐部	Zeleznica Football Club 
夏季奥林匹克运动会田径比赛	Summer Olympic Games Track and Field Competition 
蒂利女男爵	Baroness Tilly 
全国人民代表大会专门委员会	Special Committee of the National People's Congress 
莉雅·宾特·侯赛因公主	Princess Leah Bent Hussein 
执行制作人	Executive producer 
江阴长江大桥	Jiangyin Yangtze River Bridge 
第一次鸦片战争	The First Opium War 
扬·比约克隆德	Jan Bjorkund 
尔龚语	Ergong 
肖洪达	Xiao Hongda 
桥本真司	Shinji Hashimoto 
新丰郡	Xinfeng County 
.id	.id 
类班图语群	Bantu group 
爱丽丝公主_(巴滕贝格)	Princess Alice_ (Battenberg) 
宋雅王后	Queen Song Ya 
中里崇宏	Takahiro Nakazato 
屏东延伸线	Pingtung Extension 
冈特的约翰	John of Gunter 
吴克烈	Wu Keli 
西和贺町	Nishiwaga Town 
日野汽车	Hino Motors 
第十届全国人民代表大会	Tenth National People's Congress 
fontevraud	fontevraud 
元哲学	Metaphilosophy 
金维映	Jin Weiying 
蠕蠕公主	Creepy Princess 
兰卡斯特大学	Lancaster University 
菲尔内-伏尔泰	Fernet-Voltaire 
自由民主制	Liberal democracy 
.io	.I 
罗渣士通讯集团	Rogers Communications Group 
机械加工	Machining 
慧妃_(康熙帝)	Concubine Hui_(Kangxi Emperor) 
贡多马尔足球俱乐部	Gondomar Football Club 
方济各	Francis 
中国共产党浙江省委员会	Zhejiang Provincial Committee of the Communist Party of China 
沙丘ii_新王朝	Dune ii_ New Dynasty 
育碧魁北克	Ubisoft Quebec 
司马姓	Sima Surname 
必胜客公园	Pizza Hut Park 
wikt:江苏	wikt: Jiangsu 
甘肃各市州地区生产总值列表	List of GDP of each city, prefecture and region in Gansu 
吉田豊	Yutaka Yoshida 
南非首相	Prime Minister of South Africa 
邵坚毅	Shao Jianyi 
簕杜鹃	Bougainvillea 
京乐吉本控股	Jingle Yoshimoto Holdings 
大浦兼武	Oura Kanetake 
东帝汶国家体育场	East Timor National Stadium 
窝阔台汗国	Wokotai Khanate 
jean-jacques_susini	jean-jacques_susini 
福瓦的玛格丽特	Margaret of Foix 
英国雷诺方程式冬季杯	British Formula Renault Winter Cup 
美国队长	Captain America 
陈太祖	Chen Taizu 
卡布尧市议会	Capujao City Council 
圣保利足球俱乐部	St. Pauli Football Club 
真室川町	Mamurogawa Town 
富田泰弘	Yasuhiro Tomita 
第聂伯罗彼得罗夫斯克大学	Dnipropetrovsk University 
s:交通部台湾铁路管理局组织条例	s:Organization Regulations of Taiwan Railway Administration, Ministry of Transportation 
印度尼西亚时间	Indonesia Time 
能见达也	Can meet Tatsuya 
core微架构	core microarchitecture 
飞行优异十字勋章	Flying Meritorious Cross 
中英联合联络小组	Sino-British Joint Liaison Group 
大力神四号	Hercules IV 
溪埔里	Xipuli 
超级计算机	supercomputer 
遭遇凯文·约翰逊	Encounter Kevin Johnson 
特命担当大臣	Minister in charge 
奥兰多国际机场	Orlando International Airport 
端庄固伦公主	Princess Gulun 
艾琳妮_(希腊公主)	Irene _ (Greek Princess) 
小井手翔太	Shota Koide 
顾祝同	Gu Zhutong 
匈牙利行政区划	Administrative divisions of Hungary 
湾岸：洛杉矶	Gulf Coast: Los Angeles 
.ph	.ph 
圣达尼老圣文策老圣殿总主教座堂_(克拉科夫)	St. Daniel’s Old St. Vince’s Old Basilica Cathedral_ (Krakow) 
电影配乐	Movie Soundtrack 
马尔代夫总统	President of Maldives 
国会金质奖章	Congressional Gold Medal 
喀麦隆17岁以下国家足球队	Cameroon Under-17 National Football Team 
马札尔铃木公司	Mazar Suzuki 
隼形目	Hayabusa 
匈牙利总理	Prime Minister of Hungary 
浩室音乐家列表	List of house musicians 
中央财政金融学院	Central School of Finance 
中国共产党全国代表大会	National Congress of the Communist Party of China 
奸人坚	Treacherous 
维多利亚时代	Victorian 
中华世纪坛	China Millennium Monument 
亚洲运动会	Asian Games 
开成町	Kaiseicho 
港兴里	Gangxingli 
小键琴	Harpsichord 
蛇行狸翻	Meandering raccoon dog 
图灵测试	Turing test 
雷丁_(加利福尼亚州)	Redding_ (California) 
拉乌尔_(西法兰克国王)	Raoul (King of West Franconia) 
俄罗斯联邦军队综合军事学院	General Military Academy of the Army of the Russian Federation 
欧盟委员会副主席	Vice President of the European Commission 
香农河畔卡里克	Carrick-on-Shannon 
毛里塔尼亚国歌	Mauritania National Anthem 
典选音乐	Classical music 
福克京阿	Fokkina 
皋月杜鹃	Gaoyue Rhododendron 
粒子束武器	Particle beam weapon 
第四代德文郡公爵威廉·卡文迪许	William Cavendish, 4th Duke of Devonshire 
金硕洙	Kim Suk-soo 
中国人民解放军总后勤部卫生部	Ministry of Health, General Logistics Department of the Chinese People's Liberation Army 
艾伦·森宝利，森宝利男爵	Alan Samboli, Baron Samboli 
百合鸥公司	Yuri Gull 
挪威国防军	Norwegian Defence Force 
巴斯克足球代表队	Basque National Football Team 
地狱少女	Hell Girl 
日韩合并	Japan-Korea merger 
基督教民主运动	Christian democratic movement 
纳斯达克100指数	Nasdaq 100 Index 
郑州铁路局	Zhengzhou Railway Bureau 
蒂米什瓦拉足球俱乐部	Timisoara Football Club 
赫曼_(密苏里州)	Herman_ (Missouri) 
美利坚大学	American University 
长春诚业	Changchun Chengye 
伊势原市	Isehara City 
倚天剑	Heavenly Sword 
印度民族起义	Indian National Uprising 
电影导演	Movie director 
国立霞丘陆上竞技场	National Kasumigaoka Land Arena 
西北闪米特语	Northwest Semitic 
工人国际法国支部	Workers International France Branch 
温哥华国际机场	Vancouver International Airport 
亚特兰提斯号太空梭	Space Shuttle Atlantis 
刘智爱	Liu Zhiai 
园田直	Sonoda Nao 
汶莱dpmm足球俱乐部	Brunei dpmm football club 
冲浪音乐	Surf music 
华谊兄弟传媒股份有限公司	Huayi Brothers Media Co., Ltd. 
奈良县民歌	Folk Songs of Nara Prefecture 
卡特·皮尤特施密特	Carter Pietschmidt 
区域中心城市	Regional center city 
佛罗里达国际大学体育场	Florida International University Stadium 
圣玛丽大学教堂	St. Mary's University Church 
莽古济	Mangguzi 
康顿议会	Condon Council 
湘南土话	Shonan dialect 
两德统一	Reunification of Germany 
邻家花美男	Beautiful boy next door 
历史哲学	Philosophy of history 
自由意志社会主义	Free will socialism 
流浪神差	Wanderlust 
美国唱片	American Records 
托里什联合	Torish United 
西班牙共产主义工人党_(1921年)	Spanish Communist Workers Party_ (1921) 
斯洛文尼亚国徽	National Emblem of Slovenia 
zh:mnet媒体	zh:mnet media 
英国最高法院院长	President of the Supreme Court of the United Kingdom 
希特勒内阁	Hitler's Cabinet 
吴镇宇	Wu Zhenyu 
陕西浐灞	Chanba, Shaanxi 
宫本武藏	Miyamoto Musashi 
查尔斯顿_(西弗吉尼亚州)	Charleston_ (West Virginia) 
松宫勋	Song Gongxun 
吴永春_(足球运动员)	Wu Yongchun_(football player) 
女王的诞生	The birth of the queen 
佩鲁贾	Perugia 
巾帼枭雄	Heroines 
桌面环境	Desktop environment 
两轮选举制	Two-round election 
清世祖废后	After Qing Shizu was abolished 
伦斯的朱迪斯	Judith of Lens 
旧金山市长	Mayor of San Francisco 
杰佛逊县_(肯塔基州)	Jefferson County_(Kentucky) 
北秋田市	Kitaakita City 
欧洲西部时间	Western European Time 
澳门格兰披治大赛车	Macau Grand Prix 
煤气灯下	Under the gas lamp 
欧塞尔足球俱乐部	Auxerre Football Club 
天主教波哥大总教区	Catholic Archdiocese of Bogota 
中岛和子	Kazuko Nakajima 
武汉会战	Battle of Wuhan 
禄东赞	Lu Dongzan 
安道尔足球总会	Andorra Football Association 
社会主义共和国	Socialist republic 
普罗旺斯的里希尔德	Rihild in Provence 
唐贺夫拿	Don Hefner 
江湾体育中心	Jiangwan Sports Center 
孤岛惊魂系列	Far Cry Series 
查尔斯·布兰登，第一代萨福克公爵	Charles Brandon, first Duke of Suffolk 
伊拉克内战	Iraqi Civil War 
陈树	Chen Shu 
可转移单票制	Transferable single ticket system 
爱沙尼亚足球协会	Estonian Football Association 
蛋黄果	Egg Yolk 
德摩根奖章	De Morgan Medal 
协和商工	Concord Commercial 
江苏省泰州中学	Taizhou Middle School, Jiangsu Province 
