桥本由香利	Hashimoto Yukari 
帕多瓦足球俱乐部	Padova Football Club 
包惜弱	Bao Xiwei 
传闻中的七公主	The rumored seven princesses 
藤尾正行	Masayuki Fujio 
佳子女王	Queen Kako 
格斗游戏	Fighting games 
剩女保镖	Leftover female bodyguard 
基督教左派	Christian Left 
大学公园市	University Park City 
我相信_(张靓颖专辑)	I Believe_(Zhang Jingying Album) 
冯燊明	Feng Shenming 
汉特-曼西自治区区徽	Khanty-Mansi Autonomous Region Emblem 
河合龙二	Kawai Ryuji 
金致坤	Jin Zhikun 
丁进成	Ding Jincheng 
阿姆斯特丹中央车站	Amsterdam Central Station 
梅州五华	Meizhou Wuhua 
2016年亚足联冠军联赛	2016 AFC Champions League 
日热科夫足球俱乐部	Zhizhekov Football Club 
台湾民间信仰	Taiwanese folk beliefs 
空气调节	Air conditioning 
南港车站	Nangang Station 
远东山雀	Far Eastern Tit 
久世公尧	Jiushi Gongyao 
运行时系统	Runtime system 
南昌奥体中心	Nanchang Olympic Sports Center 
恶灵骑士	Ghost Rider 
td花园	td garden 
挪威银行	Norwegian Bank 
加州女孩	California girl 
斯拉文贝鲁波足球俱乐部	Slavin Belupo Football Club 
瓦斯卢伊足球俱乐部	Vaslui Football Club 
德国联邦卫生部	German Federal Ministry of Health 
栗潜心	Li Qianxin 
沙乌地阿拉伯皇家空军	Royal Saudi Air Force 
gala汤泽车站	gala Yuzawa station 
雷州民系	Leizhou ethnic group 
惠提尔学院	Whittier College 
岳阳楼区	Yueyang Tower District 
加拿大英语	Canadian English 
人民院领袖	Leader of the People's House 
格鲁吉亚总统	President of Georgia 
广播大厦	Broadcasting Building 
国民大学	Kookmin University 
软件开发工具包	Software Development Kit 
巴黎第一大学	Paris First University 
川辺骏	Kawabe Hayao 
普斯卡什球场	Puskas Stadium 
叙利亚陆军	Syrian Army 
于家堡站	Yujiapu Station 
香港榄球代表队	Hong Kong Rugby Team 
加拿大保守党	Conservative Party of Canada 
视觉系	Visual kei 
马来西亚国庆日	Malaysia National Day 
阿尔伯塔大学	University of Alberta 
松江南京站	Songjiang Nanjing Railway Station 
黄莉新	Huang Lixin 
花山天皇	Emperor Hanayama 
文昭甄皇后	Empress Wen Zhaozhen 
klaha	klaha 
海军机械军士长	Naval mechanical sergeant 
2005年世界博览会	2005 World Expo 
大连市市长列表	List of mayors of Dalian 
申成禄	Shen Chenglu 
卡尔马联合	Kalmar Union 
刘之媛	Liu Zhiyuan 
欧洲超级杯	European Super Cup 
王任重	Wang Renzhong 
能源及气候变化大臣	Minister of energy and climate change 
峡谷地国家公园	Canyonlands National Park 
福本尚纯	Fukumoto Sho Jun 
有你终身美丽	Have you beautiful for life 
俄亥俄州县列表	List of Ohio counties 
马自达626	Mazda 626 
德川明子	Tokugawa Akiko 
纽卡斯尔_(新南威尔士州)	Newcastle_(New South Wales) 
巴西人足球俱乐部	Brazilian Football Club 
上海电影集团公司	Shanghai Film Group Corporation 
香港特别行政区区徽	Hong Kong Special Administrative Region Regional Emblem 
前235年	235 years ago 
马赫原理	Mach principle 
法国共产主义学生联盟	French Communist Student Union 
原来是美男	You're Beautiful 
卡加延河谷	Cagayan Valley 
蒙哥马利公墓	Montgomery Cemetery 
大阪府知事列表	List of Governors of Osaka Prefecture 
永井龙	Nagai Dragon 
孟加拉国家足球队	Bangladesh National Football Team 
西南赛区	Southwest Division 
巴基斯坦君主	Monarch of pakistan 
珊瑚海群岛	Coral Sea Islands 
康尼·马克三世	Connie Mark III 
高魁元	Kao Kueiyuan 
曹智雄	Cao Zhixiong 
咸宁公主	Princess Xianning 
刘品言	Liu Pinyan 
believe/乌云散去，天气晴	believe/The clouds are gone, the weather is sunny 
北京大学红楼	Peking University Red House 
阿尔勒-阿维尼翁田径俱乐部	Arles-Avignon Athletic Club 
日本元帅	Japanese Marshal 
张庆翔	Zhang Qingxiang 
利默里克大学	University of Limerick 
德川寿千代	Tokugawa Tokuchiyo 
台风战斗机	Typhoon Fighter 
罗马尼亚自由民主党	Romanian Liberal Democratic Party 
埃普瑟姆和尤厄尔_(英国国会选区)	Epsom and Ewell_ (British Parliamentary District) 
谭天乐	Tan Tianle 
捷克共和国议会众议院	House of Representatives of the Parliament of the Czech Republic 
安和	Anhe 
共产主义青年联盟_(罗马尼亚)	Communist Youth League_ (Romania) 
工人阶级解放斗争协会	Working Class Liberation Struggle Association 
数据压缩	data compression 
康威·伯纳斯-李	Conway Berners-Lee 
禾拿	Herna 
湖南杨开慧烈士陵园	Yang Kaihui Martyrs Cemetery, Hunan 
黄镇_(政治人物)	Huang Zhen_(Politician) 
wikt:广东	wikt: Guangdong 
迎红杜鹃	Azalea 
东映公司	Toei 
德国联邦环境、自然保育及核能安全部	German Federal Ministry of Environment, Nature Conservation and Nuclear Energy Safety 
和硕柔嘉公主	Princess and princess 
比利时18岁以下国家足球队	Belgium Under-18 National Football Team 
应用程序接口	Application program interface 
东柏柏尔语支	East Berber 
郑震浩	Zheng Zhenhao 
国际货币基金组织	International Monetary Fund 
北川航也	Koya Kitagawa 
费尔南多王子（西班牙）	Prince Fernando (Spain) 
国立大学足球俱乐部	National University Football Club 
磁带合成器	Tape synthesizer 
美斯·芬格	Mess Finger 
克罗地亚20岁以下国家足球队	Croatian Under-20 National Football Team 
王三运	Wang Sanyun 
超级军旗攻击机	Super Military Standard Attack Aircraft 
青木哲朗	Tetsuro Aoki 
华中方面军	Central China Front 
刘裕猷	Liu Yuyou 
我的少女时代	My girlhood 
西京极综合运动	Xijingji Comprehensive Sports 
拿破仑五世	Napoleon V 
knjaževac	knjaževac 
台北车站_(桃园捷运)	Taipei Main Station_(Taoyuan MRT) 
丹麦自治市	Danish municipalities 
サポーター（supporter）	Supporter 
赵素桂	Zhao Sugui 
卡路士·比蒙迪球场	Carlos Bimondi Stadium 
大学体育场	University Stadium 
美国足球年度最佳运动员	American Football Player of the Year 
格奈乌斯·科尼利厄斯·雷恩图卢斯·马赛立那	Gnaeus Cornelius Rentulus Marcelina 
曼德博集合	Mandelbrot Collection 
地名资讯管理系统	Place Name Information Management System 
赵俊浩	Zhao Junhao 
e!	is! 
中华人民共和国人民警察	People's Police of the People's Republic of China 
约翰·厄斯金，第二十二代马尔伯爵	John Erskine, 22nd Earl of Mar 
圣尼阁老教堂_(根特)	Saint Niguel Old Church_(Ghent) 
教宗西玛克	Pope Simak 
上市町	Kamicho 
保禄四世	Paul IV 
张润镐	Zhang Runhao 
社会公益奖章	Social Service Medal 
空灵柩	Empty coffin 
罗斯、斯凯和洛哈伯_(英国国会选区)	Ross, Skye and Lochaber_ (UK Parliamentary District) 
哥伦比亚摇滚	Colombian Rock 
交响乐摇滚	Symphony Rock 
谢深山	Xie Shenshan 
第五辑	Fifth series 
jedburgh	jedburgh 
薗田淳	Jun Sonoda 
张文岳	Zhang Wenyue 
七姐妹学院	Seven Sisters College 
吕西安·布沙尔	Lucien Bouchard 
圣诞入侵	Christmas invasion 
李琬	Li Wan 
邓伟根	Deng Weigen 
金刚战士:zeo	King Kong Warrior: zeo 
windows相片检视器	windows photo viewer 
中国共产党中央委员会副主席	Vice Chairman of the Central Committee of the Communist Party of China 
石井健太	Kenta Ishii 
争取一体化社会主义运动	Movement for integrated socialism 
蒙古人民共和国部长会议主席	Chairman of the Council of Ministers of the Mongolian People's Republic 
红白埃森足球俱乐部	Red and White Essen Football Club 
全国保守党会议	National Conservative Party Conference 
毛荣楷	Mao Rongkai 
留基伯	Rukibe 
圣西蒙及裘德堂	St. Simon and Jude Church 
维堡-彼得罗扎沃茨克攻势	Vyborg-Petrozavodsk offensive 
魔法人力派遣公司	Magic manpower dispatch company 
八重山语	Yaeyama 
只见町	Tadamimachi 
国家邮政局	State Post Office 
厚生劳动大臣	Minister of Health, Labour and Welfare 
裴克廉	Pekelian 
中国中央电视台财经频道	China Central Television Finance Channel 
石锦航	Shi Jinhang 
iq博士	Dr. iq 
土库曼独立日	Turkmenistan Independence Day 
18岁的约定	18 year old promise 
中华人民共和国国防部部长	Minister of National Defense of the People's Republic of China 
下诹访町	Shimosuwa Town 
迦纳塞地	Ghana Cedi 
高皇后_(北魏孝武帝)	Queen Gao_ (Emperor Xiaowu of the Northern Wei Dynasty) 
unrealscript	unrealscript 
佐藤健一	Kenichi Sato 
刘菘	Liu Song 
石原良纯	Yoshizumi Ishihara 
迦南诸语	Canaanite languages 
王兴尉	Wang Xingwei 
尹周熙	Yoon Zhouxi 
一条良子	Yoshiko Ichijo 
鼓打贝斯历史	Drumming bass history 
空降部队	Airborne troops 
栉引政敏	Kushiyuki Masatoshi 
蜘蛛怪咖	Spider freak 
at&t体育场	at&t stadium 
吴承恩	Wu Chengen 
南中部	South Central 
北美地区	North America 
垂水藤太	Touta Tarumi 
高芳先	Gao Fangxian 
山东里	Shandong Li 
憬纬企业	Jingwei Enterprise 
美国南北战争	American Civil War 
比赫积	Bih product 
郝尔拜奖	Holby Award 
京都市交通局	Kyoto Municipal Transportation Bureau 
三和里	Sanwa ri 
大连航空	Dalian Airlines 
神圣罗马皇帝	Holy Roman Emperor 
明俊在	Ming Jun is 
德国十字勋章	German Cross 
日本电视剧	Japanese TV series 
澎湖海战	Battle of Penghu 
路易·德·博普瓦尔，圣欧莱尔伯爵	Louis de Beaupvar, Count of Saint-Eulaire 
甘马高	Camargue 
诺瓦托_(加利福尼亚州)	Novato_ (California) 
联邦国民议会	Federal National Assembly 
真理坚固	The truth is firm 
file:《咸丰皇帝朝服像》.jpg	file: "Portrait of Emperor Xianfeng's Court Clothes".jpg 
华氏温标	Fahrenheit temperature scale 
赵治治	Zhao Zhizhi 
王东洲	Wang Dongzhou 
巴西摇滚	Brazilian rock 
广岛县旗	Hiroshima Prefecture Flag 
广福里_(旗山区)	Guangfuli_(Qishan District) 
加舒安	Gassuan 
爱杀宝贝	Love to kill baby 
兼六园	Kenrokuen 
亲爱的，我爱上别人了	Honey, i'm in love with someone 
东平尾公园博多陆上竞技场	Higashihiro Park Hakata Land Arena 
赤木良次	Ryoji Akagi 
哈密尔顿_(百慕大)	Hamilton_(Bermuda) 
微内核	Microkernel 
黄龙体育场	Huanglong Stadium 
幕后大老爷	Master behind the scenes 
潘文璘	Pan Wenlin 
路易斯·德·吉尔_(1818年－1896年)	Louis de Gil_ (1818-1896) 
挪威政府首脑列表	List of heads of government of Norway 
前16世纪	16th century BC 
詹郎二氏情绪理论	Zhan Lang's Emotion Theory 
中华民国立法委员选举	Election of legislators of the Republic of China 
希腊19岁以下国家足球队	Greece Under-19 National Football Team 
故乡兵库	Hometown Hyogo 
藤原飞吕	Fujiwara Hiro 
邦芳王	King Bangfang 
拉脱维亚总统	President of Latvia 
牙买加国家足球队	Jamaica National Football Team 
京田边市	Kyotanabe City 
斯特拉斯克莱德国王列表	List of King Strathclyde 
约旦国王	King of Jordan 
长荣国际储运	Evergreen International Storage and Transportation 
东雷丁_(英国国会选区)	East Reading_ (British Parliamentary Constituency) 
上原正三	Uehara Masazo 
靴尔福特联足球俱乐部	Sulford United Football Club 
正红色	Positive red 
刘贵珍	Liu Guizhen 
郭妃丽	Guo Feili 
维拉克斯占领	Occupation by Velax 
普莱德公园球场	Pride Park Stadium 
名越埝洋	Mingyue Nianyang 
小米太亚德	Mi Tai Yade 
南阿拉伯字母	South Arabic alphabet 
德国第4装甲军团	German 4th Armored Corps 
科特迪瓦足球协会	Cote d'Ivoire Football Association 
埃甲足球乙级联赛	Ethiopian Football League Two 
福特汽车	Ford 
朝鲜总理列表	List of North Korean Prime Ministers 
金日成体育场	Kim Il Sung Stadium 
拿破仑六世	Napoleon VI 
丕平一世_(阿基坦)	Piping I_ (Aquitaine) 
世界正美丽	The world is beautiful 
联合国常务副秘书长	Deputy Secretary-General of the United Nations 
苏联国防委员会	Soviet Defense Council 
奇科_(加利福尼亚州)	Chico_ (California) 
塔巴-采卡区	Taba-Ceka District 
哥德复兴式建筑	Gothic Revival Architecture 
警察部队成就勋章	Police Achievement Medal 
松平康直	Matsudaira Yasunao 
新屋区	Xinwu District 
汤玛斯·罗宾逊，第二代格兰瑟姆男爵	Thomas Robinson, second generation Baron Grantham 
500欧元纸币	500 euro banknotes 
大叙利亚	Greater Syria 
于仁泰	Yu Rentai 
图拉兵工厂	Tula Arsenal 
德川糸子	Tokugawa Shiko 
葡萄牙足球总会	Portuguese Football Association 
裴乐士	Peles 
香港历史博物馆	Hong Kong Museum of History 
渡部博文	Hirofumi Watanabe 
玛利亚·约瑟法_(奥地利女大公)	Maria Josepha_ (Grand Duke of Austria) 
台湾银行券	Taiwan Bank Notes 
电机工程	Electrical Engineering 
缪拉家族	Murat family 
吉他英雄	Guitar hero 
zapopan	zapopan 
地方政府委员会主席	Chairman of Local Government Committee 
象山影视城	Xiangshan Film and Television City 
王刚_(政治人物)	Wang Gang_(Politician) 
黑暗奇幻	Dark fantasy 
南非党	South African Party 
地面固定波	Ground fixed wave 
中国共产党第十五次全国代表大会	The 15th National Congress of the Communist Party of China 
陈玉珊	Chen Yushan 
jean-paul_brasselet	jean-paul_brasselet 
全明星中队	All-Star Squadron 
柏林网球会	Berlin Tennis Club 
王光豪	Wang Guanghao 
宇野治	Osamu Uno 
新古典经济学派	Neoclassical economics 
伟士兰海王直升机	Weissland Sea King Helicopter 
超越时代	Beyond the era 
法蒂玛王后	Queen Fatima 
长老教会	Presbyterian church 
堀口悠纪子	Yukiko Horiguchi 
曾汉	Zeng Han 
杭州安格足球俱乐部	Hangzhou Ange Football Club 
中共国务院党组	Party Group of the State Council of the Communist Party of China 
亚拉巴马州州长	Governor of Alabama 
韩国足球协会	Korea Football Association 
中共中央直属机构	Institutions directly under the CPC Central Committee 
伊莎贝拉一世_(卡斯蒂利亚)	Isabella I_ (Castile) 
sasktel	sasktel 
律政司司长官邸	Secretary of Justice's Residence 
南非共和国储备银行	Reserve Bank of the Republic of South Africa 
让-雅克·雷吉斯·德·冈巴塞雷斯	Jean-Jacques Regis de Gombaceres 
.pe	.on 
越南电话区号	Vietnam telephone area code 
美洲足球俱乐部_(圣保罗州)	American Football Club_ (Sao Paulo State) 
家猪	Domestic pig 
背风群岛	Leeward Islands 
朝鲜人民军陆军	Korean People's Army Army 
安田显	Yasuda Akira 
男人当家	Man headed 
塞尔维亚帝国	Serbian Empire 
苏格兰足球代表乙队	Scottish Football Team B 
游戏设计师	game designer 
德国纸马克	German paper mark 
巴基斯坦国会议长	Speaker of the National Assembly of Pakistan 
岛根县旗	Shimane Prefecture Flag 
苏格兰国歌	Scottish National Anthem 
韩芝俊	Han Zhijun 
灵幻小子	Phantom kid 
让-弗朗索瓦·利奥塔	Jean-François Liotta 
德国的共产党	Communist Party of Germany 
联合直接攻击弹药	Joint direct attack ammunition 
军队总检阅官	General inspector of the army 
陈佳慧	Chen Jiahui 
程连元	Cheng Lianyuan 
库克郡政府	Cook County Government 
庇护五世	Pius V 
本丢·彼拉多	Pontius Pilate 
玛丽·费尔曼-托马斯，威灵东侯爵夫人	Mary Fairman-Thomas, Marquise of Wellingdon 
印度尼西亚外交部长	Minister of Foreign Affairs of Indonesia 
白色巨塔_(2006年电视剧)	The White Tower_ (2006 TV series) 
安南保护国	Annan Protectorate 
黑田直陈	Kuroda Naochen 
英格兰足球议会联赛杯	English Football League Cup 
户岛章	Toshima Akira 
东北保安总司令	Commander-in-chief of northeast security 
科克城足球俱乐部	Cork City Football Club 
寮国内战	Lao Civil War 
肯尼亚先令	Kenyan Shilling 
崔相炫	Choi Sang Hyun 
curren$y	curren $ y 
前川淳	Atsushi Maekawa 
卡尔顿学院	Carleton College 
邓兆尊	Deng Zhaozun 
台湾积体电路制造公司	Taiwan Semiconductor Manufacturing Company 
亨利二世	Henry II 
嵌入式系统	Embedded Systems 
碧红里	Bihongli 
加拉加斯足球俱乐部	Caracas Football Club 
老挝总理	Prime Minister of Laos 
超级星光大道_(第四届)	Super Avenue of Stars_ (4th) 
边峻范	Bian Junfan 
集宁师范学校	Jining Normal School 
捷豹车队	Jaguar Racing 
海湾省_(巴布亚纽几内亚)	Gulf Province_(Papua New Guinea) 
苏达球场	Sudar Stadium 
赖中美	Lai Zhongmei 
松平政隆	Masataka Matsudaira 
佛罗里达礁岛群	Florida Keys 
阿卜杜勒-卡里姆·卡塞姆	Abdul-Karim Kasem 
科技传播学	Science and Technology Communication 
邓小巧	Deng Xiaoqiao 
琉球君主列表	List of Ryukyu monarchs 
临时立法会	Provisional Legislative Council 
